id,wahlkreis17,gültigerst17,gültigzweit17,cduerst17,spderst17,fdperst17,linerst17,gruerst17,csuerst17,unionerst17,parteierst17,maxerst17,cduzweit17,spdzweit17,fdpzweit17,linzweit17,gruzweit17,csuzweit17,unionzweit17,parteizweit17,maxzweit17,unionmaxerst17,spdmaxerst17,fdpmaxerst17,linmaxerst17,grumaxerst17,unionmaxzweit17,spdmaxzweit17,fdpmaxzweit17,linmaxzweit17,grumaxzweit17,wahlkreis13,gültigerst13,gültigzweit13,cduerst13,spderst13,fdperst13,linerst13,gruerst13,csuerst13,unionerst13,parteierst13,maxerst13,cduzweit13,spdzweit13,fdpzweit13,linzweit13,gruzweit13,csuzweit13,unionzweit13,parteizweit13,maxzweit13,unionmaxerst13,spdmaxerst13,fdpmaxerst13,linmaxerst13,grumaxerst13,unionmaxzweit13,spdmaxzweit13,fdpmaxzweit13,linmaxzweit13,grumaxzweit13
15,Vorpommern-Rügen – Vorpommern-Greifswald I,167662,167412,44,11.6,3.1,15.9,3,0,44,cduerst,1,32.9,12.2,6.9,18,5.1,0,32.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Vorpommern-Rügen - Vorpommern-Greifswald I,154935,154976,56.2,14,0.8,19.3,3.1,0,56.2,cduerst,1,45,14.6,2.6,20.6,4.8,0,45,cduzweit,1,0,0,0,0,0,0,0,0,0,0
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,154628,154813,31.2,13.9,5.8,19.1,2.5,0,31.2,cduerst,1,33.5,12.3,5.6,17.6,2.6,0,33.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,146096,146360,45.9,15.7,1.8,23.9,2.3,0,45.9,cduerst,1,44.9,14.8,2,21.6,2.7,0,44.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,142376,142441,37.6,15.7,4.7,17.4,3.3,0,37.6,cduerst,1,35.8,14.5,5.8,16.9,3.2,0,35.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mecklenburgische Seenplatte II - Landkreis Rostock III,133642,133969,47,18.7,1.5,22.7,3.1,0,47,cduerst,1,45.1,17.2,2.1,21.5,3.3,0,45.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0
18,Hamburg-Mitte,174015,174293,24.2,30.9,6.4,13.8,12.9,0,24.2,spderst,2,23.5,23.8,9.3,15,14.4,0,23.5,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Hamburg-Mitte,166020,166213,28.2,39.2,1.7,9.5,12,0,28.2,spderst,2,27,33.5,3.9,10.9,13.6,0,27,spdzweit,2,0,0,0,0,0,0,0,0,0,0
19,Hamburg-Altona,144929,145226,25.9,28.9,8.6,13.6,14.4,0,25.9,spderst,2,24.9,20.4,11.2,15.7,17.9,0,24.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hamburg-Altona,134403,134464,32.4,34.9,2,10.2,13.7,0,32.4,spderst,2,29.4,29.8,5.5,10.8,16.5,0,29.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0
20,Hamburg-Eimsbüttel,154730,155203,28.7,31.6,6.8,10.4,15,0,28.7,spderst,2,26.9,22.3,11.3,12.4,17,0,26.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hamburg-Eimsbüttel,141438,141640,33.3,37.5,2.3,6.9,13,0,33.3,spderst,2,31.1,31.4,5.2,8.6,15.6,0,31.1,spdzweit,2,0,0,0,0,0,0,0,0,0,0
21,Hamburg-Nord,177363,177874,33.5,30.8,8.4,7.5,13.6,0,33.5,cduerst,1,31.3,21.4,13.9,9.4,14.4,0,31.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hamburg-Nord,162284,162438,39.7,34.8,2.4,4.7,11.9,0,39.7,cduerst,1,36.5,30.2,6.3,6.5,12.5,0,36.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
22,Hamburg-Wandsbek,170867,171301,29.7,34.6,7,9.2,7.1,0,29.7,spderst,2,28.9,26.6,10.3,9.8,10.4,0,28.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hamburg-Wandsbek,145193,145358,37.2,40,1.9,6.6,6.4,0,37.2,spderst,2,34.8,34.6,4.5,7.6,8.7,0,34.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
23,Hamburg-Bergedorf – Harburg,153768,154221,28.1,34.8,5.2,10.7,7.7,0,28.1,spderst,2,27.4,26.2,8.6,11.2,10,0,27.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hamburg-Bergedorf - Harburg,140615,140716,35.6,40.4,1.6,7.5,6.5,0,35.6,spderst,2,33.8,35,3.5,8.4,9.2,0,33.8,spdzweit,2,0,0,0,0,0,0,0,0,0,0
24,Aurich – Emden,139584,141071,27.6,49.6,4.9,6.7,7,0,27.6,spderst,2,28,37.8,7.1,7.2,7.4,0,28,spdzweit,2,0,2,0,0,0,0,2,0,0,0,Aurich - Emden,132039,132532,32.4,50.2,1.6,4.8,9.6,0,32.4,spderst,2,32.5,43.8,3.3,5,8.3,0,32.5,spdzweit,2,0,0,0,0,0,0,0,0,0,0
25,Unterems,174789,174952,50,28,4.4,4.4,4.7,0,50,cduerst,1,42.4,27.5,7.8,5.4,5.9,0,42.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Unterems,164863,165314,54.7,31.2,2.6,3.9,5.1,0,54.7,cduerst,1,48.8,30.9,4,4.1,5.8,0,48.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
26,Friesland – Wilhelmshaven – Wittmund,137343,137596,32.4,39.7,5.9,5.9,5.5,0,32.4,spderst,2,32.8,30.7,9.4,7.1,7.3,0,32.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Friesland - Wilhelmshaven - Wittmund,131793,132402,39.7,44.1,2.3,5.1,5.6,0,39.7,spderst,2,38.4,36.3,4.3,5.1,7.3,0,38.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0
27,Oldenburg – Ammerland,174170,174681,30.2,36.3,6.1,8.1,11.4,0,30.2,spderst,2,30.6,26.1,10.4,9.4,12.5,0,30.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Oldenburg - Ammerland,161795,162141,36.8,37.4,2.5,5.4,11.5,0,36.8,spderst,2,35.2,32.6,5.1,6.5,12.4,0,35.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
28,Delmenhorst – Wesermarsch – Oldenburg-Land,168228,168819,34.1,32.9,9,6.1,7.7,0,34.1,cduerst,1,33.5,28.2,10.1,6.9,8,0,33.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Delmenhorst - Wesermarsch - Oldenburg-Land,160639,160787,39.7,39.4,3.3,4.5,6.1,0,39.7,cduerst,1,38.9,34.1,5,5.5,8.1,0,38.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
29,Cuxhaven – Stade II,140293,140719,42.7,30.7,5,5.8,6.1,0,42.7,cduerst,1,38.5,27.7,8.2,6.5,6.9,0,38.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Cuxhaven - Stade II,135661,135967,46.8,36.4,1.4,3.6,6.1,0,46.8,cduerst,1,43.9,33.5,3.6,4.6,7.1,0,43.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
30,Stade I – Rotenburg II,151852,152195,44.4,28.2,5.8,5.3,7,0,44.4,cduerst,1,38.9,24.5,9.6,6.3,8.2,0,38.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Stade I - Rotenburg II,143970,144184,47.6,34.1,1.7,3.4,6.3,0,47.6,cduerst,1,44.7,30.9,4.2,4.2,7.8,0,44.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
31,Mittelems,178624,178852,53.6,26.4,5.6,3.8,5,0,53.6,cduerst,1,49.4,23.5,9,4.6,6,0,49.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mittelems,168873,169238,59,29,1.6,2.7,5,0,59,cduerst,1,56.1,26,4.2,3,5.4,0,56.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0
32,Cloppenburg – Vechta,162119,162516,57.7,20.4,5.1,4.1,4.3,0,57.7,cduerst,1,53.1,17.8,9.4,4.4,5,0,53.1,cduzweit,1,1,0,0,0,0,1,0,0,0,0,Cloppenburg - Vechta,152353,152564,66.3,21.3,1.8,2.5,3.7,0,66.3,cduerst,1,63.2,19.8,4.6,2.8,4.3,0,63.2,cduzweit,1,1,0,0,0,0,1,0,0,0,0
33,Diepholz – Nienburg I,146818,147278,44.6,27.3,7,5.3,7.7,0,44.6,cduerst,1,37.9,25.5,10.5,6.1,8.1,0,37.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Diepholz - Nienburg I,140854,141135,47.5,33.4,2,3.5,7.6,0,47.5,cduerst,1,43.5,31.5,4.9,4.5,8.2,0,43.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
34,Osterholz – Verden,151768,151798,39.2,32,5.5,7.1,6.7,0,39.2,cduerst,1,34.9,26.4,8.9,7.3,9.3,0,34.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Osterholz - Verden,143421,143215,44,37.4,0.9,5,6.8,0,44,cduerst,1,40,33.1,3.7,5.6,9.6,0,40,cduzweit,1,0,0,0,0,0,0,0,0,0,0
35,Rotenburg I – Heidekreis,126097,126104,36.1,41.2,4.5,4.1,4.8,0,36.1,spderst,2,37.7,27.1,8.5,5.9,8,0,37.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Rotenburg I - Heidekreis,121506,121829,44.8,40.6,1.7,3.9,5,0,44.8,cduerst,1,43.6,31.2,4,4.6,8.5,0,43.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0
36,Harburg,160512,160855,40.6,27.4,6.5,5.4,9.1,0,40.6,cduerst,1,35.9,22,11.7,6.3,10.2,0,35.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Harburg,151403,151600,45.2,31.6,3.4,3.6,7.1,0,45.2,cduerst,1,42.8,28.3,4.9,4.4,9.3,0,42.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
37,Lüchow-Dannenberg – Lüneburg,139618,140139,33.5,28.1,6.6,8.4,14.8,0,33.5,cduerst,1,31.3,23.5,9.2,9.1,13.5,0,31.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Lüchow-Dannenberg - Lüneburg,132199,132416,39.8,33.7,1.6,5.9,12,0,39.8,cduerst,1,36.8,29,4,6.9,14.3,0,36.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
38,Osnabrück-Land,150076,150195,45.6,28.3,6.4,5.3,7.7,0,45.6,cduerst,1,40.4,25.7,9.7,6.1,8.2,0,40.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Osnabrück-Land,143463,143733,53.1,32.3,1.8,3.6,5.8,0,53.1,cduerst,1,48,29.4,4.6,4,7.7,0,48,cduzweit,1,0,0,0,0,0,0,0,0,0,0
39,Stadt Osnabrück,149408,151169,40.3,31.6,8.9,8.4,10.1,0,40.3,cduerst,1,35.7,24.7,9.5,8.4,12.1,0,35.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Stadt Osnabrück,140921,141199,45.7,34.8,2.8,4.1,8.9,0,45.7,cduerst,1,43,30.5,4.2,5.1,10.9,0,43,cduzweit,1,0,0,0,0,0,0,0,0,0,0
40,Nienburg II – Schaumburg,145477,145654,40.6,32.7,4.5,4.5,7.7,0,40.6,cduerst,1,34.3,29.7,8.5,5.7,8.1,0,34.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Nienburg II - Schaumburg,140309,140617,41.6,44.6,1.4,3.3,5.8,0,41.6,spderst,2,40,36.3,3.6,4.3,8.1,0,40,cduzweit,1,0,0,0,0,0,0,0,0,0,0
41,Stadt Hannover I,133415,133849,29.6,35.6,6.5,7.2,9.1,0,29.6,spderst,2,27.2,27.4,10.2,9.3,12.2,0,27.2,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Stadt Hannover I,127979,127999,36.5,43.5,1.5,5,7.7,0,36.5,spderst,2,33.5,35.5,4.7,6.2,12.3,0,33.5,spdzweit,2,0,0,0,0,0,0,0,0,0,0
42,Stadt Hannover II,147624,148091,28.9,33.7,5.5,9.3,11.2,0,28.9,spderst,2,24.4,25.6,9.9,12,14.9,0,24.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Stadt Hannover II,139344,139290,33.9,42.8,1.5,6.2,10.2,0,33.9,spderst,2,29.9,34.7,4.3,8,15.5,0,29.9,spdzweit,2,0,0,0,0,0,0,0,0,0,0
43,Hannover-Land I,180096,180376,40.1,33.1,5.2,5,6,0,40.1,cduerst,1,34.8,27,10.5,6,7.9,0,34.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hannover-Land I,175013,175141,44.3,38.5,2.6,3.6,5,0,44.3,cduerst,1,41.3,33.1,5,4.5,8.2,0,41.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
44,Celle – Uelzen,160796,161006,42.7,30,5.5,4.9,5.8,0,42.7,cduerst,1,36.6,25.4,10.1,5.8,7.8,0,36.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Celle - Uelzen,155496,155697,48.5,34.2,1.3,3.6,6.1,0,48.5,cduerst,1,44,30.1,4.2,4.6,7.8,0,44,cduzweit,1,0,0,0,0,0,0,0,0,0,0
45,Gifhorn – Peine,167373,167573,36.1,37.8,4.8,5.3,5.6,0,36.1,spderst,2,33.8,30.1,8.4,6.1,7.2,0,33.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Gifhorn - Peine,160153,160468,42.1,43.2,1.4,4.3,4.8,0,42.1,spderst,2,40.2,36.1,3.5,4.7,7.4,0,40.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
46,Hameln-Pyrmont – Holzminden,138469,138673,33.4,39.1,5.8,5.9,5.4,0,33.4,spderst,2,32,31.9,9,6.6,7.2,0,32,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hameln-Pyrmont - Holzminden,135764,135896,39.6,42.3,1.8,4.6,6,0,39.6,spderst,2,37.5,36.4,4.4,5.3,8.4,0,37.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
47,Hannover-Land II,186766,187016,35.2,37,5.4,5.4,5.7,0,35.2,spderst,2,31.5,29.5,9.6,6.6,8.7,0,31.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hannover-Land II,180896,181291,41.9,43.4,1.4,4.1,5.2,0,41.9,spderst,2,38.4,35.9,4,4.8,8.9,0,38.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0
48,Hildesheim,167861,168297,36,37.2,5.6,5.1,7.6,0,36,spderst,2,32.6,30.9,8.2,6.5,8.8,0,32.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Hildesheim,162345,162997,42.3,41.3,1.5,4.9,8.5,0,42.3,cduerst,1,38.7,36.4,3.4,5,8.9,0,38.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
49,Salzgitter – Wolfenbüttel,155479,155719,29.1,42.8,4.7,6,4.3,0,29.1,spderst,2,29.5,32.4,8,7.2,6.6,0,29.5,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Salzgitter - Wolfenbüttel,150391,149981,37.1,46.6,1.1,4.3,4.4,0,37.1,spderst,2,35.7,39.3,3.4,5.6,7.3,0,35.7,spdzweit,2,0,0,0,0,0,0,0,0,0,0
50,Braunschweig,146350,146657,31.4,38,5.4,7.6,8,0,31.4,spderst,2,29,26.4,10,9.3,11.8,0,29,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Braunschweig,142103,142285,35,43.6,2.3,5,7.1,0,35,spderst,2,34,33.6,4.4,6.7,12.4,0,34,cduzweit,1,0,0,0,0,0,0,0,0,0,0
51,Helmstedt – Wolfsburg,135832,136012,34.9,38,5.7,6,4.5,0,34.9,spderst,2,34.6,30,8.1,6.7,5.9,0,34.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Helmstedt - Wolfsburg,131342,131775,44.7,38.7,1.4,4.4,5.1,0,44.7,cduerst,1,41.1,34.8,3.6,4.9,6.8,0,41.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0
52,Goslar – Northeim – Osterode,149372,149790,39.8,34.8,5,5.7,5.4,0,39.8,cduerst,1,32.1,32.1,9.2,6.4,6.6,0,32.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Goslar - Northeim - Osterode,146830,147264,42,42.4,1.5,4.6,5.3,0,42,spderst,2,37.9,38,4.1,5.1,6.9,0,37.9,spdzweit,2,0,0,0,0,0,0,0,0,0,0
53,Göttingen,169108,169324,33.3,34.9,4.6,5.9,11.3,0,33.3,spderst,2,30.2,28.3,9.1,8.7,11.6,0,30.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Göttingen,163840,164303,38.2,40.4,1.6,5.2,10.2,0,38.2,spderst,2,35.9,33.1,4.1,6.3,12.2,0,35.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
54,Bremen I,185437,186376,24.2,30,11.2,12.2,11.9,0,24.2,spderst,2,26,24.5,10.3,14.2,12.6,0,26,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Bremen I,182384,182696,30.3,37.9,2.3,8.3,13.9,0,30.3,spderst,2,30.2,33.1,3.9,10.1,13.9,0,30.2,spdzweit,2,0,0,0,0,0,0,0,0,0,0
55,Bremen II – Bremerhaven,145606,145947,25,34,6.7,11.5,7.7,0,25,spderst,2,23.9,29.6,8.2,12.5,9,0,23.9,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Bremen II - Bremerhaven,146427,146716,28.7,43.9,1.5,9.1,8.4,0,28.7,spderst,2,28.1,38.6,2.8,10.1,9.9,0,28.1,spdzweit,2,0,0,0,0,0,0,0,0,0,0
56,Prignitz – Ostprignitz-Ruppin – Havelland I,118415,118408,30.8,23.7,3.6,17.6,3,0,30.8,cduerst,1,29.7,21,5.5,16.4,3.6,0,29.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Prignitz - Ostprignitz-Ruppin - Havelland I,101748,102222,33.5,29.6,1.3,24.1,2.7,0,33.5,cduerst,1,36.5,25.1,2.2,22.5,3.5,0,36.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
57,Uckermark – Barnim I,127876,128013,30.6,19.4,3.8,18.4,3.7,0,30.6,cduerst,1,28.2,16.9,5.5,18.6,4.1,0,28.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Uckermark - Barnim I,98755,98919,38.9,23.5,1.6,26,2.9,0,38.9,cduerst,1,36.8,22.7,2.1,23.8,3.6,0,36.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
58,Oberhavel – Havelland II,182290,182610,29.9,22.7,5.2,14.7,5.3,0,29.9,cduerst,1,28.5,18.5,7.6,14.3,6.4,0,28.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Oberhavel - Havelland II,173719,174521,37.5,28,1.5,19.6,4.9,0,37.5,cduerst,1,36.2,23.8,2.9,18.3,5.7,0,36.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
59,Märkisch-Oderland – Barnim II,167605,167696,28.4,15.8,4.2,22.5,5.4,0,28.4,cduerst,1,25.1,15.4,6.6,20.7,4.7,0,25.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Märkisch-Oderland - Barnim II,171171,171323,34,20.3,1.1,32.9,3.4,0,34,cduerst,1,32.3,21.8,2.2,26.3,4.2,0,32.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,125798,126145,31.8,25.1,4.6,15.1,3.4,0,31.8,cduerst,1,28.2,20.7,6.5,16.6,4.2,0,28.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,121742,121971,32.8,33.1,1.6,23.8,2.4,0,32.8,spderst,2,34,26.2,2.3,22.9,3.8,0,34,cduzweit,1,0,0,0,0,0,0,0,0,0,0
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,193510,193869,24.9,26.1,7.5,16.5,8,0,24.9,spderst,2,24.8,18.5,9.2,18.1,9.8,0,24.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,179139,179897,32.6,32.2,1.8,20,7.2,0,32.6,cduerst,1,31.4,24.9,3.3,20.7,9,0,31.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0
