date,Deutschland,Großbritannien,Albanien,Andorra,Anguilla,Argentinien,Aserbaidschan,Bahrain,Bangladesch,Barbados,Belgien,Bermuda,Brasilien,Bulgarien,Cayman Islands,Chile,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Guyana,Indonesien,Iran,Irland,Island,Isle of Man,Israel,Italien,Japan,Jersey,Kambodscha,Kanada,Kolumbien,Kroatien,Lettland,Litauen,Luxemburg,Malta,Marokko,Mauritius,Mexiko,Norwegen,Oman,Österreich,Pakistan,Peru,Polen,Portugal,Rumänien,Russland,Schweden,Schweiz,Serbien,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Südafrika,Tschechien,Türkei,Turks-und Caicosinseln,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2021-01-17,0.2,6.7,,,,,,,,,,,,,,0.4,,0.1,,,,,,,,,,,,,,,38.5,0,,,,,,,,0.4,,,,,0,0,0.1,,,,0,,0,,0,,,,,,,,,0.1,,,,,,
2021-01-18,0.4,6.7,,,,,,,,,0,,,0.2,,0.4,0,0.5,,,,,,0,,,,,,,,,52.3,0.1,,,,,,,0.3,1,,,,,0.1,0.1,0.4,0,,,0.1,,0.1,,,,,,,0.1,0.1,0,,0.2,,,0.2,,,
2021-01-19,0.7,6.8,,,,,,,,,0,,,0.5,,0.4,,0.9,,,,,,0.1,,,,,,,,,68.2,0.1,,,,,,,0.7,2.5,,,,,0.1,0.2,0.6,0.1,,,0.3,,0.1,,,,,,,0.2,0.9,0.2,,0.5,,,0.3,6,,
2021-01-20,1.3,6.8,,,,0.1,,,,,0.1,,,0.6,,0.4,,1.2,,,,,,0.2,,,,,,,1.4,,84.7,0.2,,,,,,,1.1,3.1,,,,,0.1,0.3,0.9,0.2,,,0.7,,0.3,,,,,,,0.3,2.5,0.3,,0.7,,,0.4,6.5,,
2021-01-21,1.7,6.9,,,,0.4,,,,,0.1,,,0.7,,0.4,,1.6,,,,,,0.2,,,,,,,,,103.6,0.5,,,,,,,1.1,3.4,,,,,0.1,0.4,,0.4,,,1,,0.5,,,,,,,0.5,4,1,,0.9,,,0.6,7.2,,
2021-01-22,2.1,6.9,,,,0.6,,,,,0.1,,,0.7,,0.4,,2.6,,,,,,0.2,,,,,,,,,111.8,0.8,,,,,,,1.1,3.4,,,,,0.2,0.4,,0.4,,,1.2,,0.6,,,,,,,0.5,4.5,1.5,,1,,,0.7,8.2,,
2021-01-23,2.6,6.9,,,,0.6,,,,,0.1,,,0.7,,0.4,,3.8,,,,,,0.3,,,,,,,,,117.9,1.3,,,,1.6,,,,3.4,,,,,0.2,0.4,1.2,0.5,,,1.2,,0.7,,,,,,,0.5,4.7,,,1.1,,,0.8,9.1,,2.3
2021-01-24,2.9,6.9,,,,0.7,,,,,0.1,,,0.7,,0.4,,4.9,,,,,,,,7.8,,,,,,,134.1,1.8,,30.2,,,,,,,,2.7,,,0.2,0.4,1.6,0.5,,,1.3,,0.7,,0.9,,,,,0.5,4.8,1.9,,1.1,,,1,9.6,,
2021-01-25,3.4,7,,,,0.7,,,,,0.1,,,0.7,,0.5,0.5,5.4,,,0.8,,,0.8,,,,,,,14,3.7,150.1,2.9,,,,,,2.9,1.5,3.4,2,3.3,,,0.2,0.4,1.9,0.5,,,2,,1.3,,,,,,,0.9,4.8,2.6,,1.4,,,1.3,10,,
2021-01-26,4,7,,,,0.9,,,,,0.2,,,0.8,,0.5,,5.7,,,1.3,0.1,,1.3,,,,,,,,7.5,164.7,4.1,,,,,,,1.9,3.6,2,3.8,,,0.2,0.7,2.2,0.5,,,3.3,3.7,2.1,,,,,,,1,5.6,3.7,,1.8,,,1.8,10.4,,
2021-01-27,4.7,7,,,,1,,,,,0.5,,,1.1,,0.5,,6.4,,,1.7,0.2,,1.7,,,,,,2.8,14.1,12.2,179,5.2,,,,,,,2.3,4.7,2.1,4.7,,,0.2,2.1,2.4,0.6,,,4,,3,,,,,,0,1,7.8,4.1,,2.2,,,2.7,11.4,,
2021-01-28,5.2,7,,,,1.1,,,,,1.1,,,1.6,,0.5,,7.8,,4.7,1.9,0.4,,2.3,,,,0,,,,12.2,194,6.6,,,,,,,2.7,6.1,2.4,5.7,,,0.2,3.3,,0.6,,,4.7,,3.9,,,,,,,1.3,10.4,5.4,,2.8,,,3.9,12.7,,
2021-01-29,5.9,7.1,,,,1.5,,,,,1.8,,,1.9,,0.5,,11,,5.7,2.6,0.6,,3.1,,,,0,,,,12.1,201.5,8.2,,,,,,,3.2,7.9,,6.7,,,0.2,3.7,,0.8,,,5.2,,4.8,,,,,,,1.7,12.3,,,3.5,,,5.1,14.3,,
2021-01-30,6.4,7.2,,,,1.9,,,,,2,,,1.9,,0.5,,13.2,,7.2,3.2,0.7,,3.7,,,,0.1,,,,,206.4,9.6,,,,3,,,3.4,8.1,,7.8,,,0.3,3.8,,1.5,,,5.2,,5.3,,,,,,,1.7,12.4,,,3.6,,,5.9,15.7,,6.3
2021-01-31,6.8,7.3,,,,,,,,,2.1,,,1.9,,0.5,,15.4,,7.7,,0.7,11.9,,,,,0.1,,10,,,213.2,10.5,,31,,,,,,8.1,2.7,8.9,,,0.3,3.8,,1.7,,,5.3,6.7,5.5,,3.3,,,,0,1.7,12.4,7.7,,3.7,,,6.3,16.9,,
2021-02-01,7.6,7.3,,,,2.1,,,,,2.4,,,2,,0.5,2.3,16.7,,7.8,3.3,1,39.3,4.5,,,,0.1,,,,,217.3,11.8,,,,,,6.1,4.2,8.8,3,10.1,,,0.3,3.8,,1.8,,,6.2,6.7,6.4,,,,,,,2.3,12.4,9,,4.4,,,7.1,17.7,,
2021-02-02,8.4,7.3,0,,,,,,,,3.5,,,2.2,,0.5,,17.3,,8.5,3.3,1.5,68.9,5.2,,,,0.2,,,,16.7,220.9,13.2,,,,,,,5,9.6,3.7,11.1,,,0.4,4.4,,2.1,,,7.6,,7.2,,,,,,1,2.9,12.9,10.7,,5.3,,,7.8,18.1,,
2021-02-03,9.4,7.4,,,,2.5,,,,,5.1,,,2.4,,0.5,,18.3,,9.7,4.2,2,89.4,6,,,,0.3,,,14.2,25.6,226.7,14.6,,,,,,7,5.8,11.4,4.5,12.3,,,0.4,5.9,,3.1,,,9.1,7.4,7.9,,,,,0.1,,3.3,15.1,12.5,,6.4,,,8.7,19.2,,
2021-02-04,10.3,7.5,,,,3.2,,,,,7.1,,,2.5,48.6,0.7,,20.2,,10.8,6.2,2.8,117,6.6,,,,0.4,,,,25.7,233.4,16.2,,,,,,8.7,6.5,14.5,5.1,14.6,,,0.5,7.5,,4.4,,,10.4,8.3,8.6,,,,,,,4.4,18.3,14.6,,7.6,,,9.6,20.7,,
2021-02-05,11.1,7.5,,,,,,,,,8.9,,,2.5,,0.7,,22.5,,12,7.7,3.4,144.7,7.1,,,,0.4,,16.1,14.2,25.7,236.7,17.6,,,,,,,7.3,16.8,,17.2,,,0.5,8.4,,5.6,,,11.2,,9.5,,,,,,,5.6,20.9,,,8.5,,,10.5,22.4,,
2021-02-06,11.8,7.5,,,,3.6,,,,,9.4,25.5,0,2.5,,0.7,,23.7,,13.1,8.8,3.6,165.4,7.7,,,,0.5,,,,25.7,239.2,18.6,,,,4.6,,,7.6,17,,19.8,,,0.6,8.5,,6.9,,,11.6,9.3,10,,,,,16.1,,5.7,21.1,,,8.8,,,10.9,24.9,,11.4
2021-02-07,12.1,7.6,,,,4,,,,,9.6,,0.1,2.5,,0.7,,24.3,,13.2,9,3.7,165.4,,,,,0.5,,17.6,,25.7,247.1,19.1,,31.4,,,,,7.7,17,5.9,22.5,,,0.6,8.6,,7.4,,,11.9,10.2,10.4,,8.2,,,,,5.7,21.1,16.8,,9,,,11.1,27.4,,
2021-02-08,12.7,7.6,,,,4.2,,,,,10.2,,0.1,2.5,,1.3,5.6,25.5,,13.2,9,4.3,182.2,8.1,,,,0.6,,17.9,14.2,25.7,254.6,19.8,,,,,,,7.7,17.9,6.5,25,,,0.6,8.8,2.4,7.9,,,,10.3,12,,,,,40.5,,6.4,21.1,17.9,,10,,,11.4,28.5,,
2021-02-09,13.5,7.7,0.2,,,4.2,,,,,11.9,25.7,0.2,2.6,72.6,2.3,,26.4,,,9.7,5.4,199.4,8.9,,,,0.8,,18.1,,30.1,262.3,20.3,,,,,,10.2,7.8,18.6,7.1,27.5,,,0.7,9.3,2.4,8.8,,,12.7,10.3,13.7,,,,,68.1,,7.8,21.1,19,,11.1,,,11.8,29.4,,
2021-02-10,14.4,7.7,,,,4.4,,,,,13.3,,0.2,2.7,78.7,2.7,,27.1,,14.4,10.1,6.5,200,10.2,,,,1,,18.2,,34.8,270.5,20.7,,,,,,,7.9,19.2,7.8,29.3,,,0.7,10.9,2.4,10.1,,,,10.4,15.6,11.6,,,7,105.1,1,9,21.5,20.2,,12.3,,,12.1,31.3,,
2021-02-11,15.2,7.8,,,,4.7,,,,,15.6,,0.4,2.8,,2.9,,27.5,,15.1,10.9,8,227.6,11.7,,,,1.3,,18.2,,39.1,278.6,21,,,,,,11.7,8.2,19.7,8.4,31.3,,,0.7,12.5,2.4,11.8,,,15.3,13.1,17.4,,,,,141,,10.2,22.3,21.4,,13.8,,,12.5,33.5,,
2021-02-12,16.1,7.9,,,,4.9,,,,,17.8,,0.5,3,96.9,2.9,,28.8,,16.1,11.5,9.1,255.1,13.4,,,,,,18.2,16.2,39.1,282.9,21.2,,,,,,,8.5,20,,33.4,,,0.7,13.1,2.4,13.6,,,16.5,15.5,19.2,,11.5,,18.5,,,11.4,23.1,,,15.1,4,,12.9,36.1,,
2021-02-13,16.7,7.9,,,,5.2,,,,,18.4,,0.8,3,,2.9,,29,,16.7,12.1,9.3,282.6,14.9,,,,1.5,,18.6,,39.1,286.4,21.3,,,,8.1,,,8.6,20,,35.3,,,0.7,13.2,2.4,15.2,,,16.9,18.1,20.8,,,,,144.2,,11.4,23.2,,,15.4,5.4,,13.3,39.1,,16.9
2021-02-14,17,7.9,,,,5.3,,,,,18.6,,0.9,3,,2.9,,29.1,,16.8,12.1,9.4,298.4,,,,,1.6,,18.6,,39.1,294.3,21.4,,32.2,,,,,8.6,,9,36.8,,,,13.2,2.4,15.8,,,17.1,19.1,22.2,,,11.8,26.7,,,11.5,23.2,22.9,,15.5,5.8,,13.4,42.1,,
2021-02-15,17.7,8,,,,5.3,,,,,19.5,,1,3.1,,2.9,8.4,29.6,,16.8,12.1,10.6,304.1,16.2,,,,1.8,,19.9,16.9,,303,21.5,,,,,,12.9,8.7,20.3,9.5,38.7,,,0.7,13.3,2.4,16,,,17.4,19.4,23.6,,,11.8,,167.2,,12.7,23.2,23.5,,16.4,6.8,,13.6,,,
2021-02-16,18.3,8.2,,,,5.3,,,,,20.2,,1.3,3.3,,2.9,,29.9,,17,12.2,12,319.7,17.1,,,,2,,21.4,17.4,42.3,311.9,21.6,,,,,,,8.7,20.3,10.1,40.4,,,0.7,13.7,3.7,16.8,,,18.3,19.9,25,,14,11.8,,184.8,,13.9,23.2,23.9,,17.2,7.7,,14,44.9,,
2021-02-17,18.9,8.5,0.2,,,5.3,,,,,21.1,,2.6,3.5,105.6,,,29.9,0.1,17.5,12.4,13.6,335.5,18.3,,,,2.2,,22.9,21.6,45.4,320.4,21.7,,,,,,,8.8,21.7,10.4,42,,,0.8,15.5,3.7,17.8,,,20.5,20.5,26.3,,15.1,15.9,,198.4,,15,23.5,24.5,,17.9,8.8,,14.6,46.3,,
2021-02-18,19.6,8.7,0.2,,,5.4,,,,,22,,3.4,3.7,,,,30,,18,12.7,15.3,357.8,19.6,,46.1,,2.3,,,28.3,48.3,329.6,21.8,,,,,,13.4,8.9,23.4,11.3,43.5,,,,17.2,3.7,19.4,,,22.9,22.6,27.4,,16.7,,,,,16.2,23.8,25,0,18.6,10.3,,15.8,48.3,,
2021-02-19,20.2,8.9,,,,5.6,,,,,22.5,,4.2,3.8,106.6,2.9,,30.1,,18.7,12.9,16.6,373.2,20.7,,,,,,,29.5,55.1,332.9,21.9,,,,,,,8.9,24.6,,44.9,0.1,,3.2,,3.7,20.5,,,24.2,23.8,28.4,,18.6,,,,,16.2,24,,0.1,19.2,11.6,,17.9,50.9,,
2021-02-20,,,,,,5.8,,,,,,,5,3.9,116.2,,,,,19.5,13.1,,,21.8,,,,2.7,,,,55.4,,22,,,,,,,8.9,24.6,,,0.4,,3.5,,,21.5,,,,,29.3,,,,,,,,,,0.2,19.3,12.2,,,53.5,,21.9
2021-02-22,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
