owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Äthiopien,Australien,Bangladesch,Belarus,Belgien,Benin,Bolivien,Brasilien,Bulgarien,Burkina Faso,Burundi,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Haiti,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jemen,Jordanien,Kambodscha,Kamerun,Kanada,Kasachstan,Kenia,Kirgisistan,Kolumbien,Kuba,Libanon,Libyen,Madagaskar,Malawi,Malaysia,Mali,Marokko,Mexiko,Mosambik,Nepal,Nicaragua,Niederlande,Niger,Nigeria,Norwegen,Österreich,Pakistan,Papua-Neuguinea,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Sambia,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Somalia,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Südsudan,Syrien,Tadschikistan,Tansania,Thailand,Togo,Tschad,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Usbekistan,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,
2020-12-16,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,
2020-12-17,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,
2020-12-18,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,
2020-12-20,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,817,,,,,,,59,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,,,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,1785,,,,,,,80,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,,
2020-12-22,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,2835,,,,,,,99,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,23,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,856,,,,,
2020-12-23,,,,,,,,,,,,,,,,,,,,134,,0,,,,,,,,,,,,,,,,,,3864,,,,,,,124,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,87,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,
2020-12-24,,,,,,,,,,,,,,,,,,,,134,,1,,,,,,,,,,,,,,,,,,4713,,,,,,,146,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,151,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,1004,,,,,
2020-12-25,,,,,,,,,,,,,,,,,,,252,134,48,1,,,,,,,,,,,,,,,,,,4637,,,,,,,143,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,215,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,828,,,,,
2020-12-26,,,,,,,,,,,,,,,,,,,209,134,48,1,,,,,,,,,,,,,,,,,,4489,,,,,,,138,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,279,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,
2020-12-27,,,,,,,,,,,,,,,,,,,145,134,48,140,,,,,,,,,,,,,,,,,,6023,,,,,,,149,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,343,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,806,,,,,
2020-12-28,,,,,,,,,,,,,,,,,,,109,134,48,187,,,,,,10,,,,,,,,,,,,7761,25,,,,,,144,,,,,,,,,,,,,13,,,,,,,19,,,,,,,,272,,57,407,,,,46,,,,,,,,,,,,,,,,,,,,216,,,,,,897,,,,,
2020-12-29,,,,,,,,,,,43,3,,,,,,,88,134,48,384,,,,,,8,,59,,,,,,,,,,9523,22,,,,,,172,,,,,,,,,,,,,24,,,,,,,47,,,,,,,113,750,,47,471,,,,74,,,,,,,,,,,,,,,,,,,,271,,,,,635,1016,,,,,
2020-12-30,,,,,,447,,,,,43,25,,,,414,,,74,134,48,638,,,,,,7,,60,,,,,,,,,,10947,41,,,,,,190,,,,,,,,,,,,,29,,,,,,,59,,,,,,,452,830,,81,471,,,,95,,,,,,,,,,,,,,,,,,,,290,,,,,635,1133,,,,,
